EKO 4h of Bulgaria – Final,,,,,,,,,,
,,,,,,,,,,
22/10/2022 - 14:55,,,,,,,,,,
,,,,,,,,,,
17 - SÉLESTAT KART INDOOR,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
40,54.341,54.358,175.869,56.096,55.997,55.358,55.31,55.673,55.764,55.623
50,55.557,55.457,55.106,56.481,55.701,55.549,55.556,55.574,56.3,56.675
60,56.291,56.001,55.464,55.751,55.542,55.904,55.671,55.48,55.458,55.451
70,55.46,55.479,55.514,55.278,55.015,55.566,55.444,56.109,55.516,55.278
80,56.656,55.725,57.072,176.892,56.003,55.379,55.044,55.2,54.819,55.347
90,54.51,54.868,55.011,54.493,55.93,54.863,55.932,54.807,54.733,55.054
100,54.943,55.272,54.569,55.167,54.811,55.347,54.81,54.807,54.682,55.094
110,54.669,55.394,54.765,54.645,55.489,54.785,54.54,175.383,56.223,55.76
120,56.372,56.094,56.843,57.26,57.26,98.813,95.429,90.446,79.082,95.856
130,57.776,56.964,56.745,55.367,56.702,55.735,56.539,55.542,55.926,55.618
140,55.51,55.212,55.335,56.001,55.977,55.712,55.448,55.282,56.352,55.504
150,55.125,55.905,57.439,55.331,55.139,176.76,55.039,54.954,54.976,54.606
160,54.869,56.111,55.688,55.673,55.316,55.006,55.824,54.617,54.62,54.783
170,54.741,54.754,54.957,54.896,54.535,54.744,54.831,54.522,54.916,56.088
180,54.694,54.712,54.808,55.329,54.87,54.744,54.421,55.226,54.855,54.724
190,54.621,54.833,55.27,54.811,54.663,54.723,54.76,54.395,160.447,55.378
200,55,54.927,55.303,55.04,55.125,54.955,56.103,54.976,55.565,54.868
210,55.82,55.528,55.079,54.964,54.852,55.831,55.487,55.08,55.137,55.399
220,55.451,174.788,54.776,174.687,55.009,55.002,173.797,55.754,55.131,55.315
230,54.344,54.315,55.238,54.168,54.536,54.748,54.808,55.062,54.775,55.129
240,54.551,,,,,,,,,
,,,,,,,,,,
1 - MONTANA EXTREME,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,56.005,55.011,54.43,55.445,54.857,55.456,55.273,54.908,54.911
10,54.861,54.774,54.796,54.805,54.633,55.019,55.237,55.911,57.97,55.168
20,55.236,55.221,55.781,55.077,55.512,55.215,55.001,55.2,54.862,55.094
30,55.352,55.164,55.34,55.412,55.223,55.056,54.891,54.971,54.726,55.035
40,56.348,55.104,175.239,55.557,55.027,56.343,54.961,55.122,55.583,54.868
50,54.926,55.155,55.459,55.168,55.301,55.291,55.118,55.176,55.983,55.704
60,55.434,55.445,55.188,55.584,55.452,56.102,55.342,55.215,55.231,54.898
70,55.405,54.838,55.913,55.475,55.462,55.175,55.83,55.89,55.258,56.122
80,55.534,55.594,55.183,55.477,177.67,56.09,55.33,55.259,55.133,56.032
90,55.256,55.004,55.113,55.045,55.457,55.749,56.38,55.494,54.878,55.374
100,55.03,55.414,55.33,55.558,55.17,55.267,55.678,57.944,55.169,55.239
110,55.157,175.908,56.192,55.54,176.262,55.668,55.333,54.977,55.26,55.236
120,55.09,56.528,55.128,94.147,98.969,90.256,75.252,92.439,58.384,58.23
130,57.958,58.164,58.637,56.073,55.675,55.952,56.102,55.917,55.916,55.859
140,55.582,55.951,55.642,184.678,56.855,55.822,56.283,57.063,55.867,55.507
150,55.916,56.548,55.809,56.066,56.484,56.356,57.051,55.891,55.747,55.657
160,55.508,55.715,55.25,55.841,56.226,55.672,55.757,56.069,56.762,175.755
170,55.072,55.159,55.351,55.224,55.598,55.144,55.429,54.803,56.094,56.289
180,55.046,54.998,54.996,55.167,55.417,55.467,55.087,54.935,55.439,55.264
190,54.916,55.029,55.28,54.929,54.848,174.574,54.705,55.397,55.378,55.252
200,55.194,55.55,55.174,54.884,54.84,56.137,55.41,54.975,54.921,57.069
210,55.592,55.733,55.252,55.535,55.289,54.991,54.836,55.35,55.522,55.039
220,55.307,55.745,175.782,56.656,55.435,55.117,55.029,54.816,55.505,55.229
230,54.971,55.108,56.531,55.176,55.832,56.265,55.216,55.178,55.122,55.391
,,,,,,,,,,
38 - SVL,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,57.335,56.348,56.243,55.944,55.814,55.731,57.049,55.754,55.614
10,55.661,55.556,56.669,55.604,176.566,56.587,55.5,55.641,55.976,56.09
20,56.195,55.516,56.21,55.874,55.891,56.196,55.639,55.902,56.262,56.549
